iter	Passed	Remaining
826	71821	15024
827	71902	14936
828	71984	14848
829	72074	14762
830	72156	14674
831	72236	14586
832	72326	14499
833	72415	14413
834	72501	14326
835	72578	14237
836	72658	14149
837	72736	14061
838	72822	13974
839	72935	13892
840	73020	13805
841	73104	13717
842	73183	13629
843	73265	13541
844	73358	13456
845	73445	13369
846	73526	13281
847	73611	13194
848	73693	13106
849	73776	13019
850	73860	12932
851	73991	12852
852	74145	12777
853	74294	12701
854	74405	12618
855	74507	12533
856	74599	12447
857	74688	12360
858	74774	12273
859	74869	12188
860	74948	12099
861	75062	12016
862	75138	11928
863	75220	11840
864	75303	11752
865	75389	11665
866	75478	11578
867	75564	11491
868	75643	11403
869	75727	11315
870	75808	11227
871	75898	11141
872	75988	11054
873	76100	10971
874	76184	10883
875	76266	10795
876	76352	10708
877	76435	10620
878	76517	10533
879	76604	10446
880	76693	10359
881	76780	10272
882	76860	10184
883	76944	10096
884	77025	10008
885	77137	9925
886	77231	9838
887	77315	9751
888	77402	9664
889	77479	9576
890	77559	9488
891	77650	9401
892	77738	9314
893	77824	9227
894	77907	9139
895	77990	9052
896	78067	8964
897	78158	8877
898	78276	8794
899	78364	8707
900	78443	8619
901	78529	8532
902	78617	8445
903	78704	8358
904	78790	8270
905	78877	8183
906	78961	8096
907	79043	8008
908	79128	7921
909	79227	7835
910	79351	7752
911	79437	7665
912	79522	7577
913	79597	7489
914	79682	7402
915	79768	7315
916	79855	7227
917	79943	7140
918	80028	7053
919	80112	6966
920	80190	6878
921	80269	6790
922	80507	6716
923	80591	6628
924	80672	6541
925	80758	6453
926	80838	6365
927	80922	6278
928	81007	6191
929	81088	6103
930	81167	6015
931	81249	5928
932	81326	5840
933	81412	5752
934	81502	5665
935	81617	5580
936	81696	5492
937	81775	5405
938	81870	5318
939	81953	5231
940	82034	5143
941	82114	5055
942	82197	4968
943	82285	4881
944	82376	4794
945	82460	4707
946	82630	4624
947	82746	4538
948	82842	4452
949	82933	4364
950	83020	4277
951	83116	4190
952	83215	4103
953	83294	4016
954	83382	3929
955	83457	3841
956	83541	3753
957	83629	3666
958	83752	3580
959	83895	3495
960	84015	3409
961	84138	3323
962	84246	3236
963	84334	3149
964	84418	3061
965	84504	2974
966	84586	2886
