iter	F1:use_weights=false	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
228	0.6943360832	0.3804584456	0.8258678163	0.8457757462
229	0.6946699913	0.380364584	0.8261082086	0.8459048131
230	0.6945421222	0.3801814308	0.8260240713	0.8458402796
231	0.694629156	0.3800371026	0.8260761563	0.8458940575
232	0.6950629648	0.3798412957	0.8263806532	0.8460769024
233	0.695140665	0.37969848	0.8264127055	0.8461521914
234	0.695190812	0.3794654079	0.8264647905	0.8461414359
235	0.6956670006	0.3792902551	0.8267572679	0.8464210809
236	0.695531679	0.3791879849	0.8266490913	0.8463888142
237	0.6957634166	0.379061602	0.8267893202	0.8465286367
238	0.6959191506	0.3788757741	0.8268934902	0.8466039258
239	0.6957726662	0.3787994771	0.8268093529	0.8465071256
240	0.6960635963	0.3786669312	0.8270216994	0.8466146814
241	0.6962824011	0.3785026395	0.8271499087	0.8467545039
242	0.696387853	0.378319811	0.827242059	0.8467652595
243	0.696656509	0.3781474501	0.8274223533	0.8468943264
244	0.6967527487	0.3780704004	0.827494471	0.8469265932
245	0.6969012404	0.3779682115	0.8275746018	0.847034149
246	0.6970045592	0.3777804491	0.8276707587	0.847034149
247	0.6972770273	0.3776075546	0.8278430398	0.8471847271
248	0.697573343	0.3774510329	0.8280433668	0.8473245496
249	0.6976645073	0.377316146	0.8280874387	0.8473998387
250	0.6979519639	0.3771731212	0.8282677329	0.8475611724
251	0.6979579656	0.3770682193	0.8282557133	0.8475934391
252	0.6978855827	0.3769365024	0.8282116414	0.8475504168
253	0.698111599	0.3768493351	0.8283638899	0.8476579726
254	0.6981502003	0.3767115438	0.8283999487	0.8476579726
255	0.6983098532	0.3765794107	0.8284961056	0.8477547728
256	0.6985290983	0.3765444149	0.8286243149	0.8478945953
257	0.6985121712	0.3763862912	0.8286203083	0.8478730842
258	0.6982584042	0.3762818148	0.8284480272	0.8477547728
259	0.6984485551	0.3761502492	0.8285962691	0.8478085507
260	0.6986949846	0.3760311643	0.8287084522	0.8480236623
261	0.6988933194	0.37590519	0.828840668	0.8481204625
262	0.6991491993	0.3757710006	0.8290089426	0.8482495294
263	0.6993475202	0.3755830225	0.8291411584	0.8483463297
264	0.6991661869	0.3755039094	0.8290129491	0.8482710406
265	0.6992216654	0.3754092544	0.8290530145	0.8482925518
266	0.6996502602	0.3752433449	0.8293294657	0.8485184189
267	0.6997760955	0.3750787182	0.8294176095	0.8485721968
268	0.6998592691	0.3749036017	0.8294777076	0.8486044636
269	0.6998400341	0.3746764491	0.8294416488	0.8486367303
270	0.7001002581	0.3744724308	0.8296019103	0.8487873084
271	0.7002453333	0.3743317322	0.8296900542	0.8488733531
272	0.7002410358	0.3741912635	0.8296980672	0.8488518419
273	0.7005333902	0.3740135182	0.8298703484	0.8490346867
274	0.7006527025	0.3738356681	0.8299705119	0.8490561979
275	0.7005673819	0.3737385226	0.8299144203	0.8490131756
276	0.7007529703	0.373636811	0.8300346165	0.8491099758
277	0.7009363735	0.3736001288	0.8301588192	0.8491960204
278	0.7009385666	0.373440374	0.8301548127	0.849206776
279	0.7010322471	0.3733061606	0.8302309369	0.8492282872
280	0.7009042825	0.3732222922	0.8301467996	0.8491637537
281	0.7011857033	0.3731455749	0.8303391134	0.8492928207
282	0.7008678223	0.3730392938	0.830142793	0.8491099758
283	0.701283199	0.3728452847	0.8304432834	0.8492713095
284	0.701293719	0.3727080372	0.8304593096	0.8492605539
285	0.7014022077	0.3725838452	0.8305434469	0.8492928207
286	0.701283199	0.3724833607	0.8304432834	0.8492713095
287	0.7015666631	0.3723723582	0.8306315908	0.849411132
288	0.7015584028	0.3722946764	0.8306115581	0.8494326432
289	0.7018853438	0.3721761853	0.8307918523	0.8496585104
290	0.7022138805	0.3720146882	0.8310041989	0.8498305996
291	0.7022565371	0.3719267977	0.8310322446	0.8498521108
292	0.7023636829	0.3718493742	0.8310843296	0.8499381554
293	0.7025574302	0.3716671539	0.8312245585	0.8500134445
294	0.7024271638	0.3715054146	0.8311444277	0.8499381554
295	0.7021575985	0.3713214513	0.8310001923	0.849744555
296	0.7022819364	0.3712486798	0.8310562839	0.8498521108
297	0.702232457	0.3711237952	0.8310402577	0.8497983329
298	0.7021644099	0.3710355507	0.8309881727	0.8497768217
299	0.7022415595	0.3708301876	0.8310242315	0.8498413552
300	0.7022864943	0.3706219579	0.8310482708	0.8498736219
301	0.702429452	0.3705625109	0.8311404212	0.849948911
302	0.7027730375	0.3704060599	0.8313607808	0.8501317558
303	0.7030566754	0.3702442674	0.8315490881	0.8502715784
304	0.7032029684	0.3701446523	0.8316692843	0.8503038451
305	0.7033553039	0.3700108151	0.8317454085	0.8504221565
306	0.703488	0.3699019399	0.8318215327	0.8505082011
307	0.7035006506	0.3698684603	0.8318335524	0.8505082011
308	0.7034026667	0.3697985456	0.8317654412	0.8504651788
309	0.7037606181	0.3696108322	0.8319617616	0.8507125571
310	0.7038159467	0.3694914393	0.832001827	0.8507340683
311	0.7042151318	0.3693859274	0.832262252	0.8509384243
312	0.7043485683	0.3692532296	0.8323704285	0.850970691
313	0.7042079208	0.3691748374	0.8322742716	0.8509061576
314	0.7043407743	0.3690758291	0.8323503958	0.8509922022
315	0.7044086893	0.3689045494	0.8324024808	0.8510137134
316	0.7045692212	0.3687386634	0.8324986378	0.8511105136
317	0.7046065833	0.368648676	0.8325026443	0.8511642915
318	0.7046395493	0.3685771678	0.8325467162	0.8511427803
319	0.7047045765	0.3684790694	0.8325707555	0.8512073138
