iter	F1	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
231	0.7629225138	0.4170750951	0.8058751883	0.8301371336
232	0.7629527784	0.4169707241	0.805895221	0.8301478892
233	0.7629138425	0.4168523903	0.8059032341	0.8302231783
234	0.7630337321	0.416728443	0.8060194237	0.8303630008
235	0.7629723908	0.4165924023	0.8060033975	0.8304060231
236	0.7630541751	0.4164995084	0.806103561	0.8305566012
237	0.7631674288	0.4164154896	0.8061876983	0.8306211347
238	0.7632735782	0.4162760396	0.8062518029	0.8306426459
239	0.7633113212	0.4161742763	0.8062798487	0.830664157
240	0.7632728198	0.4160659048	0.8062758422	0.8307071793
241	0.7634092255	0.4160153063	0.8063599795	0.8307394461
242	0.7633423392	0.4158995631	0.8062758422	0.8306103791
243	0.7635840442	0.4157616946	0.8064481233	0.8307286905
244	0.7637121716	0.4156694024	0.8065482868	0.8308147351
245	0.7638328171	0.415569114	0.8066404372	0.8308900242
246	0.7638477687	0.4153941629	0.8066564633	0.8309115354
247	0.7638640867	0.415252678	0.806624411	0.8308039796
248	0.7639547967	0.4151405311	0.8066845091	0.8308362463
249	0.7640974961	0.4150563457	0.8068127184	0.8309760688
250	0.7639775557	0.4149413289	0.8066965287	0.8308362463
251	0.7641209014	0.4148573119	0.8068006987	0.8309115354
252	0.764044504	0.4147540848	0.806780666	0.8309653133
253	0.7640217439	0.4146509146	0.8067686464	0.8309653133
254	0.7641654355	0.4144000998	0.8068607968	0.8310083356
255	0.7644359203	0.4142375458	0.8071011891	0.8312664695
256	0.764481711	0.4141211669	0.8071132088	0.8312342027
257	0.7646106516	0.4139917797	0.8071773134	0.8312234472
258	0.7646863202	0.4138752596	0.8072213853	0.8312342027
259	0.7647841311	0.4138349695	0.8073015161	0.8313094918
260	0.7648811125	0.4137622653	0.8074177057	0.8314815811
261	0.7649032864	0.413676953	0.8074537645	0.8315461145
262	0.7649861561	0.4135866656	0.8075178692	0.8315998924
263	0.765038817	0.4135112807	0.8075619411	0.8316429148
264	0.7651820872	0.4133708388	0.8076661111	0.8317182038
265	0.7652427393	0.4132984432	0.8076941569	0.8317074482
266	0.7651668574	0.4131583894	0.8076621046	0.8317289594
267	0.7650912151	0.413060762	0.8076180326	0.8317182038
268	0.7651441402	0.4129744784	0.8076500849	0.8317289594
269	0.7653400642	0.4128868494	0.8077983269	0.8318472708
270	0.7655214574	0.4127513312	0.8079065034	0.8318795375
271	0.7654009429	0.4126930642	0.807814353	0.8318042485
272	0.7656267576	0.4125423222	0.8079946473	0.8319655821
273	0.7659281065	0.4124084052	0.8082190134	0.8321376714
274	0.7659054232	0.4122991491	0.8082069938	0.8321376714
275	0.7658602663	0.4121831473	0.808170935	0.8321054047
276	0.7660633683	0.4121219639	0.8083392096	0.8322667384
277	0.7661162157	0.4120701044	0.8083712619	0.8322774939
