iter	Passed	Remaining
565	15003	38011
566	15044	38022
567	15078	38015
568	15133	38058
569	15153	38015
570	15184	38001
571	15217	37991
572	15251	37981
573	15288	37982
574	15328	37987
575	15361	37977
576	15390	37955
577	15428	37956
578	15461	37945
579	15494	37934
580	15523	37913
581	15560	37913
582	15589	37891
583	15617	37866
584	15646	37846
585	15674	37820
586	15698	37788
587	15728	37770
588	15753	37739
589	15781	37714
590	15806	37685
591	15832	37656
592	15857	37623
593	15892	37616
594	15924	37603
595	15960	37597
596	15998	37596
597	16027	37575
598	16069	37585
599	16110	37590
600	16184	37675
601	16226	37682
602	16259	37670
603	16301	37675
604	16333	37661
605	16361	37637
606	16386	37604
607	16424	37602
608	16445	37561
609	16475	37543
610	16505	37521
611	16533	37496
612	16561	37472
613	16587	37444
614	16618	37425
615	16663	37439
616	16707	37450
617	16741	37438
618	16774	37423
619	16804	37404
620	16833	37381
621	16862	37357
622	16887	37326
623	16919	37309
624	16944	37278
625	16977	37263
626	17005	37237
627	17033	37212
628	17055	37174
629	17084	37152
630	17104	37109
631	17154	37132
632	17180	37102
633	17207	37075
634	17234	37048
635	17254	37005
636	17282	36979
637	17308	36950
638	17328	36908
639	17349	36867
640	17378	36843
641	17405	36817
642	17431	36788
643	17454	36751
644	17481	36725
645	17509	36699
646	17538	36676
647	17567	36652
648	17604	36645
649	17635	36627
650	17680	36638
651	17727	36650
652	17760	36635
653	17781	36596
654	17815	36583
655	17841	36554
656	17870	36529
657	17905	36518
658	17935	36497
659	17973	36491
660	18006	36475
661	18032	36446
662	18059	36418
663	18085	36388
664	18114	36364
665	18148	36351
666	18215	36403
667	18265	36420
668	18300	36409
669	18335	36396
670	18376	36397
671	18412	36386
672	18444	36368
673	18474	36345
674	18501	36318
675	18534	36301
676	18561	36273
677	18589	36246
678	18628	36242
679	18669	36241
680	18716	36250
681	18750	36236
682	18785	36224
683	18815	36199
684	18846	36179
685	18874	36152
686	18904	36130
687	18933	36104
688	18966	36088
689	18997	36067
690	19025	36041
691	19052	36012
692	19077	35980
693	19104	35951
694	19128	35917
695	19159	35897
696	19209	35911
697	19252	35912
698	19290	35903
699	19326	35891
700	19359	35874
701	19395	35862
702	19424	35837
703	19454	35813
704	19483	35789
705	19511	35761
706	19542	35739
707	19570	35713
708	19593	35676
709	19620	35648
710	19656	35636
711	19693	35625
712	19727	35609
713	19755	35581
714	19784	35556
715	19811	35527
716	19842	35506
717	19869	35477
718	19897	35449
719	19923	35420
720	19962	35411
721	19990	35384
722	20012	35347
723	20037	35315
724	20072	35299
725	20100	35272
726	20127	35244
727	20156	35218
728	20181	35185
729	20226	35189
730	20260	35172
731	20289	35145
732	20313	35111
733	20342	35086
734	20369	35057
735	20396	35029
736	20425	35002
737	20453	34975
738	20481	34948
739	20508	34920
740	20531	34884
741	20562	34862
742	20589	34832
743	20613	34799
744	20644	34776
745	20677	34758
746	20712	34742
747	20746	34725
748	20776	34701
749	20804	34674
750	20836	34653
751	20859	34617
752	20886	34589
753	20914	34560
754	20939	34529
755	20972	34510
756	21004	34489
757	21032	34462
758	21056	34427
759	21085	34402
760	21115	34378
761	21144	34353
762	21168	34319
763	21189	34280
764	21216	34251
765	21271	34267
766	21305	34249
767	21339	34232
768	21368	34206
769	21394	34175
770	21422	34148
771	21451	34122
772	21479	34094
773	21505	34065
774	21532	34036
775	21561	34009
776	21592	33985
777	21617	33955
778	21649	33932
779	21681	33911
780	21707	33881
781	21737	33857
782	21772	33840
783	21803	33817
784	21831	33790
785	21863	33768
786	21892	33742
787	21920	33714
788	21944	33682
789	21975	33658
790	22002	33629
791	22034	33607
792	22064	33584
793	22093	33557
794	22126	33538
795	22155	33512
796	22183	33484
797	22213	33459
798	22237	33426
799	22284	33427
800	22313	33400
801	22341	33373
802	22368	33343
803	22398	33318
804	22431	33298
805	22455	33265
806	22480	33233
807	22510	33208
808	22541	33185
809	22577	33169
810	22607	33144
811	22636	33117
812	22669	33098
813	22697	33070
814	22736	33059
815	22773	33044
816	22800	33014
817	22828	32987
818	22854	32956
819	22888	32937
820	22922	32917
821	22956	32898
822	22983	32869
823	23016	32849
824	23050	32830
825	23085	32811
826	23112	32782
827	23144	32760
828	23172	32732
829	23197	32699
830	23225	32672
831	23250	32640
832	23308	32654
833	23338	32628
834	23366	32601
835	23391	32568
836	23421	32543
837	23453	32520
838	23489	32505
839	23522	32483
840	23553	32460
841	23576	32424
842	23607	32400
843	23634	32371
844	23653	32331
845	23684	32307
846	23702	32265
847	23761	32279
848	23791	32254
849	23807	32210
850	23830	32174
851	23847	32133
852	23878	32108
853	23905	32078
854	23929	32046
855	23959	32020
856	23978	31981
857	24006	31953
858	24038	31930
859	24066	31902
860	24091	31869
861	24113	31833
862	24138	31802
863	24164	31771
864	24197	31750
865	24222	31718
866	24254	31695
867	24275	31658
868	24305	31633
869	24359	31639
870	24386	31610
871	24416	31584
872	24447	31560
873	24473	31529
874	24497	31496
875	24521	31463
876	24550	31437
877	24578	31409
878	24618	31396
879	24650	31372
880	24678	31344
881	24705	31315
882	24726	31279
883	24753	31250
884	24781	31222
885	24810	31195
886	24841	31170
887	24878	31153
888	24909	31129
889	24937	31101
890	24970	31079
891	24998	31052
892	25029	31027
893	25058	31001
894	25090	30978
895	25120	30952
896	25151	30927
897	25184	30905
898	25206	30870
899	25232	30839
900	25255	30806
901	25283	30777
902	25309	30746
903	25357	30743
904	25392	30723
905	25420	30695
906	25445	30663
907	25482	30646
908	25520	30630
909	25565	30621
910	25610	30614
911	25650	30600
912	25689	30584
913	25724	30564
914	25760	30547
915	25801	30533
916	25829	30505
917	25859	30478
918	25887	30451
919	25927	30436
920	25960	30413
921	25989	30386
922	26024	30366
923	26052	30337
924	26081	30310
925	26113	30287
926	26148	30266
927	26177	30238
928	26201	30206
929	26235	30184
930	26268	30162
931	26295	30132
932	26322	30103
933	26355	30079
934	26419	30092
935	26442	30058
936	26468	30027
937	26498	30001
938	26531	29978
939	26556	29946
940	26583	29916
941	26613	29890
942	26644	29865
943	26671	29835
944	26700	29808
945	26731	29782
946	26764	29759
947	26791	29730
948	26825	29708
949	26865	29693
950	26894	29666
951	26926	29641
952	26952	29611
953	26978	29580
954	26998	29543
955	27030	29518
956	27057	29489
957	27082	29457
958	27105	29423
959	27134	29395
960	27167	29372
961	27198	29347
962	27235	29328
963	27262	29298
964	27294	29274
965	27334	29258
966	27369	29237
967	27406	29218
968	27458	29215
969	27491	29191
970	27528	29172
971	27561	29149
972	27604	29136
973	27640	29116
974	27667	29086
975	27694	29056
976	27720	29025
977	27747	28995
978	27780	28972
979	27810	28945
980	27838	28916
981	27874	28896
982	27907	28873
983	27942	28851
984	27967	28818
985	27992	28787
986	28015	28753
987	28037	28718
988	28063	28687
989	28084	28652
990	28113	28624
991	28141	28595
992	28166	28563
993	28194	28534
994	28232	28516
995	28273	28500
996	28308	28478
997	28353	28467
998	28389	28446
999	28426	28426
1000	28497	28440
1001	28538	28424
1002	28567	28396
1003	28595	28367
1004	28632	28347
1005	28665	28323
1006	28699	28300
1007	28737	28281
1008	28765	28252
1009	28794	28223
1010	28824	28196
1011	28852	28168
1012	28878	28137
1013	28914	28115
1014	28950	28094
1015	28977	28065
1016	29011	28041
1017	29038	28011
1018	29063	27979
1019	29090	27949
1020	29116	27918
1021	29142	27887
